Argentina,Cañon
Chile,Globo
Brasil,Barco
Uruguay,Globo
Peru,Barco
Colombia,Globo
Mexico,Cañon
California,Cañon
Oregon,Cañon
Alaska,Barco
Yukon,Globo
Canada,Cañon
Nueva York,Cañon
Terranova,Cañon
Labrador,Cañon
Groenlandia,Globo
Islandia,Barco
Gran Bretaña,Cañon
España,Globo
Francia,Globo
Alemania,Cañon
Italia,Globo
Polonia,Cañon
Rusia,Globo
Suecia,Barco
Sahara,Cañon
Zaire,Barco
Etiopia,Globo
Egipto,Globo
Sudafrica,Cañon
Madagascar,Barco
Sumatra,Globo
Java,Cañon
Australia,Cañon
Borneo,Barco
Arabia,Cañon
Israel,Barco
Turquia,Barco
Iran,Globo
Aral,Cañon
Tartaria,Cañon
Taymir,Cañon
Siberia,Cañon
Mongolia,Barco
Gobi,Globo
China,Barco
India,Globo
Malasia,Cañon
Japon,Cañon
Kamchatka,Globo